iteration,delta
1,159.7
2,142.3026
3,138.9468168
4,125.11957519219996
5,120.39628500342627
6,115.3219944517188
7,105.87918576712468
8,103.67869442672765
9,96.70791285594629
10,94.74281037647057
11,92.6033743075053
12,90.28623841780126
13,87.79570737032412
14,85.33137896476953
15,83.5491721584574
16,82.39853537179408
17,81.30983498570913
18,80.04271521492944
19,78.37749765031379
20,76.10869311689981
21,75.09267319458587
22,73.60615186192979
23,72.37791534484438
24,70.03566147430399
25,68.91413268049746
26,66.80835416845827
27,65.3766601852451
28,63.82148355395225
29,62.40958500073555
30,61.200754870179026
31,59.94314399723373
32,58.96016098322184
33,58.20477331753784
34,57.10797237671204
35,56.49712370743566
36,55.49779857768374
37,54.91734511190748
38,54.088601681187924
39,53.4848366637799
40,52.843055702679635
41,52.274624651637396
42,51.70131502479535
43,51.17706297578752
44,50.634179376366774
45,50.04319547686646
46,49.53268400191905
47,48.934494820631244
48,48.443525964401374
49,47.88199184881569
50,47.392147092459254
51,46.867663981509395
52,46.382896885389755
53,45.885758750791865
54,45.41250450721736
55,44.943474188731784
56,44.476609186393716
57,44.02958261648928
58,43.571878512191006
59,43.13542791950772
60,42.70011792261107
61,42.27090063589446
62,41.84247397331137
63,41.4237834146802
64,41.00578503159659
65,40.59141085940655
66,40.183519491456764
67,39.77639743779787
68,39.3775622834205
69,38.97917361294935
70,38.588779873054364
71,38.19933808700989
72,37.8169931183495
73,37.436248827020336
74,37.06167360626523
75,36.689255131827395
76,36.32223004850948
77,35.957772014645116
78,35.598109883170764
79,35.241291526836676
80,34.888824004092385
81,34.539372679868166
82,34.19394325541998
83,33.85162683080853
84,33.51308706893474
85,33.17770448274155
86,32.84591191099025
87,32.51728499655428
88,32.19210185840143
89,31.87006909452134
90,31.55136157605466
91,31.235773584583058
92,30.923411313664246
93,30.614127713812195
94,30.307983422713733
95,30.00487066827327
96,29.704819957925338
97,29.407749861136836
98,29.11367103026305
99,28.822519755724898
100,28.534293672240437
101,28.248941048921097
102,27.966451049274838
103,27.686780096406437
104,27.409911903630018
105,27.135808499936502
106,26.864450154361748
107,26.595802803223705
