episode,reward,steps,success,wall_collisions,penalty_entries,epsilon
0,-861.0,382,False,40,16,0.5
1,-939.0,382,False,51,15,0.4985286053704413
2,-760.0,310,True,91,14,0.49706172116204067
3,-886.0,382,False,45,14,0.4955993335485285
4,-1118.0,382,False,76,16,0.494141428746018
5,-1022.0,382,False,66,15,0.4926879930128759
6,-1123.0,382,False,83,20,0.49123901264959247
7,-919.0,382,False,53,13,0.48979447399865256
8,-871.0,382,False,51,15,0.4883543634444068
9,-880.0,382,False,52,8,0.48691866741294326
10,-1133.0,382,False,68,25,0.4854873723719597
11,-917.0,382,False,49,17,0.4840604648306357
12,-887.0,382,False,40,21,0.48263793133950583
13,-969.0,382,False,59,13,0.4812197584903327
14,-765.0,382,False,37,10,0.4798059329159805
15,-1225.0,382,False,109,10,0.4783964412902893
16,-1107.0,382,False,55,33,0.4769912703279489
17,-1079.0,382,False,94,4,0.4755904067843744
18,-760.0,382,False,47,6,0.4741938374555807
19,-585.0,277,True,68,18,0.4728015491780581
20,-625.0,292,True,87,5,0.47141352882864884
21,-968.0,382,False,72,11,0.4700297633244225
22,-893.0,382,False,52,9,0.4686502396225535
23,-1146.0,382,False,66,31,0.46727494472019754
24,-823.0,382,False,37,13,0.4659038656543695
25,-892.0,382,False,65,9,0.4645369895018209
26,-1025.0,382,False,83,10,0.4631743033789184
27,-852.0,382,False,56,10,0.46181579444152226
28,-1096.0,382,False,90,9,0.460461449884865
29,-1065.0,382,False,92,5,0.4591112569434312
30,-935.0,382,False,50,16,0.45776520289083666
31,-346.0,241,True,46,12,0.4564232750397091
32,-971.0,382,False,62,17,0.4550854607415677
33,-1008.0,382,False,70,16,0.4537517473867047
34,-483.0,250,True,67,10,0.45242212240406615
35,-860.0,382,False,56,10,0.4510965732611334
36,-326.0,210,True,49,9,0.44977508746380507
37,-778.0,382,False,33,11,0.4484576525562793
38,-829.0,382,False,47,15,0.4471442561209363
39,-898.0,382,False,36,25,0.4458348857782212
40,-129.0,184,True,31,6,0.4445295291865278
41,-132.0,159,True,32,8,0.4432281740420817
42,-959.0,382,False,46,25,0.4419308080788245
43,-815.0,382,False,38,12,0.44063741906829834
44,-735.0,382,False,30,16,0.4393479948195306
45,-849.0,382,False,43,12,0.43806252317891875
46,-510.0,328,True,63,8,0.43678099203011617
47,-771.0,382,False,41,17,0.4355033892939177
48,-775.0,382,False,37,7,0.4342297029281458
49,-755.0,382,False,46,9,0.43295992092753705
50,-421.0,357,True,50,8,0.43169403132362916
51,-978.0,382,False,54,19,0.430432022184648
52,-907.0,382,False,48,16,0.42917388161539505
53,-762.0,382,False,33,10,0.4279195977571355
54,-360.0,236,True,55,6,0.4266691587874863
55,-748.0,382,False,30,12,0.4254225529203049
56,-107.0,175,True,26,7,0.424179768405578
57,-860.0,382,False,44,12,0.4229407935293108
58,-840.0,382,False,46,10,0.42170561661341666
59,-812.0,382,False,46,15,0.42047422601560724
60,-280.0,209,True,48,6,0.41924661012928205
61,-728.0,382,False,34,13,0.4180227573834201
62,-1021.0,382,False,74,16,0.41680265624246987
63,-877.0,382,False,48,11,0.4155862952062411
64,-937.0,382,False,63,12,0.4143736628097963
65,-704.0,382,False,29,5,0.4131647476233427
66,-160.0,151,True,40,5,0.4119595382521244
67,-383.0,276,True,53,8,0.410758023336315
68,-1050.0,382,False,61,23,0.4095601915509108
69,-1260.0,382,False,101,11,0.4083660316056235
70,-42.0,136,True,29,2,0.40717553224477443
71,-1014.0,382,False,61,16,0.40598868224718804
72,-822.0,382,False,44,18,0.404805470426086
73,-938.0,382,False,69,9,0.40362588562898233
74,-858.0,382,False,48,11,0.40244991673757774
75,-808.0,382,False,59,4,0.40127755266765514
76,-174.0,207,True,36,5,0.40010878236897496
77,-725.0,382,False,32,16,0.39894359482517117
78,38.0,124,True,15,6,0.39778197905364737
79,-905.0,382,False,47,16,0.39662392410547315
80,-622.0,345,True,70,12,0.39546941906528127
81,-208.0,238,True,33,6,0.3943184530511642
82,-1013.0,382,False,79,10,0.3931710152145721
83,-801.0,382,False,46,14,0.3920270947402102
84,-259.0,244,True,29,16,0.39088668084593714
85,-810.0,382,False,46,5,0.389749762782663
86,-832.0,382,False,28,21,0.38861632983424843
87,-994.0,382,False,60,14,0.38748637131740304
88,-616.0,286,True,73,15,0.3863598765815855
89,-855.0,382,False,54,15,0.3852368350089022
90,-132.0,142,True,43,0,0.3841172360140082
91,-822.0,382,False,50,14,0.3830010690440066
92,-853.0,382,False,59,7,0.38188832357834945
93,-44.0,147,True,26,4,0.38077898912873864
94,-821.0,382,False,55,9,0.3796730552390269
95,-202.0,260,True,31,6,0.37857051148511917
96,-900.0,382,False,59,14,0.37747134747487476
97,-772.0,382,False,33,13,0.37637555284800883
98,-338.0,329,True,36,11,0.3752831172759951
99,-760.0,382,False,38,7,0.3741940304619685
100,-739.0,382,False,43,8,0.37310828214062786
101,-788.0,382,False,39,11,0.3720258620781394
102,-326.0,218,True,51,9,0.3709467600720404
103,-790.0,382,False,49,8,0.36987096595114244
104,34.0,103,True,22,2,0.3687984695754361
105,-841.0,382,False,56,11,0.3677292608359953
106,-296.0,222,True,45,8,0.3666633296548817
107,-749.0,382,False,45,10,0.36560066598505014
108,-818.0,382,False,38,15,0.36454125981025365
109,-887.0,382,False,42,18,0.3634851011449491
110,118.0,69,True,14,3,0.36243218003420297
111,-684.0,382,False,36,6,0.36138248655359795
112,-867.0,382,False,53,14,0.36033601080913885
113,-437.0,203,True,72,5,0.3592927429371596
114,-397.0,346,True,31,21,0.35825267310423053
115,-478.0,380,True,47,12,0.35721579150706506
116,82.0,95,True,16,2,0.35618208837242776
117,-548.0,336,True,59,15,0.3551515539570423
118,-699.0,382,False,33,14,0.3541241785474992
119,-618.0,333,True,72,13,0.35309995246016485
120,-931.0,382,False,37,28,0.3520788660410895
121,-709.0,382,False,38,6,0.351060909665917
122,-209.0,168,True,43,7,0.3500460737397936
123,-369.0,272,True,55,2,0.34903434869727756
124,-553.0,370,True,53,19,0.3480257250022494
125,-842.0,382,False,44,19,0.3470201931478214
126,-755.0,382,False,43,12,0.3460177436562486
127,-853.0,382,False,38,20,0.3450183670788389
128,-72.0,160,True,23,8,0.34402205399586444
129,-542.0,363,True,66,8,0.34302879501647254
130,-766.0,382,False,46,10,0.3420385807785974
131,-301.0,325,True,34,8,0.3410514019488717
132,34.0,113,True,12,10,0.3400672492225386
133,-231.0,173,True,40,10,0.3390861133233643
134,-637.0,259,True,94,3,0.3381079850035502
135,-849.0,382,False,30,23,0.3371328550436461
136,-229.0,165,True,42,10,0.3361607142524631
137,-1035.0,382,False,82,12,0.33519155346698704
138,-839.0,382,False,38,16,0.33422536355229204
139,-314.0,226,True,49,7,0.33326213540145455
140,-584.0,266,True,81,7,0.33230185993546746
141,-730.0,382,False,39,10,0.33134452810315446
142,-388.0,328,True,47,7,0.3303901308810847
143,-375.0,354,True,35,13,0.3294386592734879
144,-18.0,100,True,25,6,0.32849010431216946
145,-263.0,147,True,52,7,0.3275444570564259
146,-84.0,204,True,25,3,0.32660170859296045
147,-414.0,351,True,40,13,0.3256618500357996
148,-862.0,382,False,63,7,0.3247248725262087
149,-23.0,102,True,25,7,0.3237907672326086
150,-2.0,183,True,18,2,0.3228595253504928
151,-780.0,382,False,44,14,0.32193113810234397
152,-158.0,162,True,43,1,0.3210055967375516
153,-670.0,382,False,33,8,0.32008289253232924
154,-72.0,133,True,34,1,0.31916301678963227
155,45.0,116,True,21,0,0.31824596083907636
156,4.0,155,True,14,7,0.3173317160368551
157,-104.0,175,True,24,10,0.31642027376565907
158,-672.0,341,True,84,8,0.3155116254345942
159,-829.0,382,False,55,11,0.3146057624791012
160,-157.0,156,True,41,2,0.31370267636087457
161,-297.0,216,True,43,11,0.31280235856778205
162,143.0,96,True,9,1,0.3119048006137846
163,-855.0,382,False,62,6,0.31100999403885643
164,-673.0,382,False,26,13,0.310117930408905
165,-794.0,382,False,48,10,0.30922860131569174
166,-722.0,382,False,32,13,0.3083419983767528
167,-2.0,101,True,26,4,0.3074581132353199
168,-807.0,382,False,57,8,0.3065769375602417
169,-413.0,319,True,44,13,0.3056984630459052
170,-507.0,380,True,45,16,0.30482268141215746
171,-223.0,217,True,32,11,0.30394958440422754
172,-56.0,140,True,27,5,0.30307916379264876
173,-23.0,118,True,23,7,0.3022114113731811
174,-67.0,177,True,24,5,0.3013463189667338
175,-101.0,109,True,34,7,0.3004838784192885
176,-825.0,346,True,99,12,0.2996240816018219
177,62.0,83,True,20,3,0.29876692041022984
178,-217.0,183,True,38,10,0.29791238676525017
179,79.0,88,True,21,0,0.2970604726123872
180,-488.0,273,True,70,5,0.2962111699218353
181,-109.0,112,True,41,3,0.2953644706884039
182,-180.0,201,True,32,9,0.29452036693144096
183,95.0,69,True,16,4,0.2936788506947588
184,-347.0,353,True,30,14,0.2928399140465587
185,-846.0,382,False,67,3,0.29200354907935583
186,-710.0,382,False,38,11,0.29116974790990524
187,-97.0,188,True,21,9,0.29033850267912725
188,-262.0,156,True,51,7,0.2895098055520335
189,-403.0,355,True,44,8,0.2886836487176529
190,-711.0,382,False,47,2,0.2878600243889583
191,-633.0,382,False,31,5,0.28703892480279297
192,113.0,67,True,14,4,0.28622034221979714
193,-148.0,151,True,30,11,0.28540426892433574
194,-91.0,155,True,32,4,0.28459069722442487
195,-179.0,135,True,42,7,0.2837796194516598
196,117.0,72,True,13,4,0.2829710279611427
197,-241.0,174,True,53,1,0.2821649151314103
198,-56.0,138,True,31,1,0.28136127336436223
199,-209.0,150,True,51,1,0.28056009508518936
200,87.0,75,True,16,4,0.27976137274230256
201,22.0,123,True,18,5,0.27896509880726134
202,-838.0,382,False,64,5,0.27817126577470264
203,-130.0,173,True,30,8,0.27737986616227084
204,-27.0,192,True,17,5,0.2765908925105464
205,-689.0,382,False,36,10,0.2758043373829762
206,-36.0,152,True,25,3,0.275020193365803
207,-901.0,382,False,55,19,0.27423845306799577
208,-973.0,382,False,76,9,0.27345910912118004
209,-219.0,185,True,44,6,0.27268215417956826
210,-32.0,124,True,29,2,0.27190758091989087
211,-963.0,382,False,75,8,0.27113538204132703
212,-101.0,168,True,27,7,0.2703655502654358
213,-178.0,182,True,41,3,0.2695980783360877
214,-390.0,163,True,74,2,0.26883295901939624
215,-84.0,127,True,32,5,0.26807018510364966
216,33.0,126,True,11,9,0.2673097493992431
217,-112.0,147,True,28,9,0.2665516447386107
218,39.0,94,True,23,2,0.26579586397615806
219,-759.0,382,False,47,9,0.265042399988195
220,-71.0,158,True,27,4,0.2642912456728683
221,-289.0,247,True,42,8,0.2635423939500949
222,-40.0,150,True,17,11,0.2627958377614948
223,-55.0,156,True,27,3,0.262051570070325
224,-349.0,173,True,64,5,0.26130958386141306
225,-1169.0,382,False,74,25,0.26056987214109073
226,-487.0,308,True,63,8,0.25983242793712813
227,-287.0,147,True,56,7,0.2590972442986683
228,-697.0,382,False,30,5,0.2583643142961613
229,-205.0,165,True,48,2,0.2576336310212992
230,-154.0,235,True,30,5,0.2569051875869507
231,-292.0,144,True,65,0,0.2561789771270964
232,-404.0,365,True,46,5,0.2554549927967642
233,21.0,86,True,25,3,0.2547332277719643
234,-91.0,118,True,39,1,0.2540136752496255
235,-424.0,341,True,54,3,0.2532963284475304
236,-765.0,382,False,45,10,0.25258118060425244
237,-1064.0,382,False,85,11,0.2518682249790909
238,-136.0,95,True,40,8,0.2511574548520085
239,-452.0,354,True,53,5,0.25044886352356743
240,35.0,90,True,21,5,0.2497424443148664
241,-79.0,151,True,34,0,0.2490381905674777
242,19.0,89,True,22,5,0.24833609564338427
243,-232.0,281,True,24,12,0.24763615292491745
244,-109.0,195,True,28,5,0.24693835581469423
245,-249.0,156,True,55,2,0.24624269773555543
246,-807.0,382,False,42,16,0.2455491721305034
247,-738.0,382,False,46,7,0.2448577724626404
248,-22.0,95,True,26,6,0.24416849221510695
249,-423.0,308,True,49,12,0.24348132489102028
250,-77.0,147,True,34,1,0.2427962640134134
251,-87.0,116,True,35,5,0.24211330312517365
252,39.0,116,True,19,3,0.2414324357889821
253,164.0,72,True,7,3,0.24075365558725292
254,-310.0,325,True,40,4,0.24007695612207264
255,-79.0,209,True,22,4,0.23940233101514002
256,79.0,82,True,9,10,0.23872977390770597
257,-458.0,363,True,48,11,0.23805927846051347
258,31.0,93,True,24,3,0.23739083835373795
259,64.0,123,True,16,2,0.23672444728692763
260,-825.0,382,False,50,13,0.23606009897894417
261,-18.0,96,True,31,2,0.23539778716790344
262,-80.0,162,True,27,5,0.23473750561111661
263,0.0,205,True,16,1,0.2340792480850311
264,181.0,66,True,7,2,0.23342300838517216
265,18.0,125,True,20,3,0.23276878032608425
266,20.0,86,True,19,8,0.23211655774127266
267,58.0,86,True,17,5,0.2314663344831456
268,47.0,90,True,23,2,0.23081810442295608
269,19.0,93,True,22,5,0.23017186145074423
270,33.0,89,True,26,1,0.22952759947527965
271,-839.0,382,False,63,5,0.22888531242400412
272,90.0,90,True,13,5,0.22824499424297418
273,152.0,70,True,9,4,0.2276066388968042
274,72.0,79,True,14,7,0.2269702403686094
275,-85.0,127,True,34,4,0.2263357926599493
276,-32.0,208,True,19,1,0.22570328979077098
277,-514.0,327,True,58,12,0.22507272579935286
278,-313.0,257,True,48,5,0.22444409474224838
279,-9.0,101,True,24,6,0.2238173906942302
280,-124.0,135,True,38,3,0.22319260774823402
281,-195.0,196,True,37,7,0.22256974001530322
282,-366.0,349,True,38,11,0.22194878162453316
283,82.0,82,True,17,4,0.22132972672301593
284,104.0,96,True,11,4,0.22071256947578516
285,-19.0,120,True,27,3,0.22009730406576097
286,-83.0,116,True,37,2,0.2194839246936953
287,-40.0,117,True,24,8,0.21887242557811695
288,-90.0,120,True,35,5,0.21826280095527748
289,12.0,86,True,21,8,0.2176550450790965
290,-631.0,259,True,92,5,0.2170491522211078
291,-366.0,165,True,68,4,0.21644511667040522
292,-26.0,117,True,26,4,0.21584293273358882
293,-234.0,147,True,50,5,0.21524259473471127
294,59.0,89,True,20,3,0.21464409701522424
295,128.0,73,True,10,5,0.21404743393392525
296,-378.0,308,True,47,7,0.21345259986690437
297,-411.0,207,True,68,5,0.21285958920749118
298,48.0,124,True,13,6,0.212268396366202
299,-857.0,382,False,37,18,0.2116790157706872
300,117.0,79,True,12,4,0.2110914418656787
301,34.0,82,True,23,4,0.21050566911293747
302,-48.0,105,True,32,4,0.20992169199120148
303,167.0,67,True,10,1,0.20933950499613366
304,127.0,84,True,11,2,0.20875910264026987
305,-356.0,314,True,37,14,0.2081804794529673
306,149.0,77,True,8,4,0.20760362998035298
307,57.0,117,True,18,2,0.2070285487852721
308,-100.0,117,True,36,5,0.2064552304472371
309,-146.0,118,True,47,1,0.20588366956237625
310,-351.0,293,True,34,18,0.20531386074338304
311,123.0,59,True,8,8,0.2047457986194651
312,-328.0,162,True,63,4,0.2041794778362938
313,-96.0,121,True,38,2,0.2036148930559537
314,-87.0,130,True,35,2,0.2030520389568922
315,-359.0,337,True,38,10,0.2024909102338694
316,-249.0,147,True,52,6,0.20193150159790813
317,-270.0,209,True,44,10,0.20137380777624414
318,-199.0,234,True,29,10,0.20081782351227626
319,82.0,82,True,13,6,0.20026354356551698
320,-27.0,109,True,32,1,0.19971096271154293
321,-8.0,95,True,28,3,0.19916007574194589
322,-36.0,118,True,29,3,0.1986108774642833
323,106.0,68,True,17,2,0.19806336270202973
324,-113.0,123,True,38,4,0.1975175262945278
325,18.0,90,True,27,2,0.1969733630969396
326,143.0,55,True,12,3,0.19643086798019843
327,136.0,58,True,13,3,0.19589003583095999
328,-158.0,216,True,31,5,0.19535086155155462
329,-13.0,95,True,24,7,0.19481334005993908
330,112.0,61,True,16,3,0.19427746628964865
