iteration,delta
1,159.7
2,100.61800000000001
3,69.46631999999997
4,44.22488539999998
5,30.090357408999992
6,20.373389803409992
7,13.315201872921904
8,9.15499938681701
9,6.037838513595084
10,4.183389805573881
11,2.8892756412704514
12,1.9916069357311432
13,1.3695525247617493
14,0.9437314077937087
15,0.651324517949984
16,0.4554113236240829
17,0.317674782718413
18,0.22028151216438818
19,0.15299227037584995
20,0.10557525372676224
21,0.07339639918227103
22,0.05116016137367785
23,0.035479319615855154
24,0.024611068845945105
25,0.016926369234276706
26,0.011804756981883102
27,0.00803484551939837
28,0.005617835182323727
29,0.0038369516692395855
30,0.0026791351208568237
31,0.0018547541798876743
32,0.0012898928573719104
33,0.0008980636913116236
34,0.0006266652153725794
35,0.0004344530908002575
36,0.00030369109869399225
37,0.00021102524752780738
38,0.00014738880131837107
39,0.00010306563280160219
40,7.205729317760756e-05
