iteration,delta
1,159.7
2,136.553
3,127.94561999999996
4,110.52813502500004
5,102.0633335014375
6,93.81533723974253
7,82.62509822416607
8,77.64442003847861
9,69.50607150753132
10,65.34922614478401
11,61.283355811289994
12,57.33678417079892
13,53.50620391811768
14,49.94666338794309
15,46.87832129174336
16,44.41712965509919
17,42.054070270978656
18,39.72218664165496
19,37.32918285347739
20,34.9433208381992
21,32.99003163024548
22,31.198070508205262
23,29.38663834179235
24,27.69828555809002
25,25.823510558430144
26,24.461775851938455
27,22.576778397855833
28,21.434772625536624
29,19.868648419448192
30,18.823260266851946
31,17.65998147242854
32,16.618993189128673
33,15.740095876607398
34,14.77476313233285
35,14.024231741932567
36,13.195989005581225
37,12.521062482824505
38,11.816877939190192
39,11.207714054996472
40,10.636411948213578
41,10.097355253659572
42,9.575233053927064
43,9.094684618849442
44,8.633254213491767
45,8.180846391456868
46,7.769619289609892
47,7.359442379135601
48,6.9910220642768195
49,6.626145519588221
50,6.293155954161705
51,5.969190318889105
52,5.668214601178192
53,5.3791386236393635
54,5.108026935680471
55,4.849170444825376
56,4.60571153303087
57,4.37500184421279
58,4.156075380744937
59,3.947834939205279
60,3.7495276703254206
61,3.5619717049865756
62,3.3835158074479637
63,3.2133600374339437
64,3.0525689760960404
65,2.8989183891902712
66,2.7539406529577946
67,2.6154918603720034
68,2.484659768461057
69,2.3599721280615427
70,2.241864973497627
71,2.1294957121037896
72,2.022923431083967
73,1.92160920326765
74,1.8254561411881696
75,1.7340807867993817
76,1.6473270036566987
77,1.5648979820946352
78,1.4866204825131604
79,1.412251115573298
80,1.341617738690502
81,1.2745133760737701
82,1.210774615299556
83,1.1502215043146293
84,1.0927022759771603
85,1.0380583506237144
86,0.9861503859856668
87,0.936837466238643
88,0.8899924801842758
89,0.8454895458969247
90,0.8032131532850997
91,0.7630504663716522
92,0.7248967662071379
93,0.6886506838726234
94,0.6542174272094599
95,0.6215057931799777
96,0.590430060229437
97,0.5609080896423677
98,0.5328624132533832
99,0.5062190059270222
100,0.4809078888799547
101,0.4568623186854097
102,0.4340191005004499
103,0.41231803772421927
104,0.3917020731427101
105,0.3721169034239722
106,0.35351101981254374
107,0.3358354283198821
108,0.31904363333561037
109,0.3030914268372271
110,0.2879368410454788
111,0.2735399837690693
112,0.25986297572137573
113,0.24686981760140725
114,0.2345263212897919
115,0.22279999950276874
116,0.21165999619759646
117,0.20107699287922287
118,0.1910231411935115
119,0.1814719819828099
120,0.17239838163186505
121,0.16377846123148743
122,0.15558953740247716
123,0.14781005972380967
124,0.14041955626709068
125,0.13339857795804733
126,0.12672864877163192
127,0.12039221602915973
128,0.11437260505087465
129,0.10865397461196835
130,0.10322127577296669
131,0.09806021187009151
132,0.09315720121003324
133,0.08849934107951185
134,0.08407437398477668
135,0.07987065524261538
136,0.07587712245549483
137,0.07208326630640727
138,0.06847910297580029
139,0.06505514781090938
140,0.06180239041091795
141,0.058712270880477035
142,0.05577665733071058
143,0.0529878244580857
144,0.050338433231559065
145,0.047821511566240815
146,0.04543043598587815
147,0.04315891418431761
148,0.041000968473667854
149,0.0389509200485918
150,0.03700337404529819
151,0.03515320534216926
152,0.03339554507462594
153,0.03172576782037595
154,0.030139479429010407
155,0.028632505457267143
156,0.02720088018409683
157,0.02584083617472288
158,0.024548794366182847
159,0.02332135464757812
160,0.02215528691522195
161,0.021047522569460853
162,0.019995146441033285
163,0.018995389119027095
164,0.01804561966298479
165,0.017143338679943554
