episode,reward,steps,success,wall_collisions,penalty_entries,epsilon
0,-129.0,183,True,36,1,0.5
1,114.0,85,True,14,1,0.4985286053704413
2,139.0,77,True,12,1,0.49706172116204067
3,161.0,84,True,9,0,0.4955993335485285
4,82.0,94,True,19,0,0.494141428746018
5,210.0,71,True,4,0,0.4926879930128759
6,84.0,84,True,15,4,0.49123901264959247
7,81.0,101,True,18,0,0.48979447399865256
8,69.0,99,True,20,0,0.4883543634444068
9,103.0,105,True,14,0,0.48691866741294326
10,134.0,93,True,8,3,0.4854873723719597
11,91.0,116,True,13,2,0.4840604648306357
12,91.0,126,True,9,4,0.48263793133950583
13,119.0,86,True,13,1,0.4812197584903327
14,-20.0,142,True,23,3,0.4798059329159805
15,-39.0,172,True,21,4,0.4783964412902893
16,0.0,156,True,17,4,0.4769912703279489
17,-75.0,166,True,29,2,0.4755904067843744
18,47.0,134,True,15,3,0.4741938374555807
19,94.0,93,True,12,4,0.4728015491780581
20,2.0,117,True,20,6,0.47141352882864884
21,144.0,90,True,11,0,0.4700297633244225
22,-7.0,176,True,15,6,0.4686502396225535
23,140.0,82,True,9,3,0.46727494472019754
24,-68.0,191,True,22,4,0.4659038656543695
25,-898.0,382,False,65,8,0.4645369895018209
26,185.0,72,True,7,0,0.4631743033789184
27,145.0,82,True,7,4,0.46181579444152226
28,199.0,76,True,5,0,0.460461449884865
29,194.0,77,True,2,3,0.4591112569434312
30,-292.0,308,True,39,2,0.45776520289083666
31,57.0,124,True,13,4,0.4564232750397091
32,-20.0,141,True,26,1,0.4550854607415677
33,-59.0,182,True,27,1,0.4537517473867047
34,131.0,82,True,11,2,0.45242212240406615
35,71.0,92,True,17,3,0.4510965732611334
36,137.0,88,True,11,1,0.44977508746380507
37,-76.0,170,True,25,5,0.4484576525562793
38,173.0,77,True,8,0,0.4471442561209363
39,76.0,103,True,14,4,0.4458348857782212
40,173.0,71,True,6,3,0.4445295291865278
41,206.0,57,True,6,0,0.4432281740420817
42,-38.0,166,True,23,3,0.4419308080788245
43,187.0,60,True,9,0,0.44063741906829834
44,186.0,79,True,4,2,0.4393479948195306
